Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
CÔNG TY TNHH LUCCIS,Chuyên môn Kế toán tổng hợp May mặc / Thời trang Kế toán,3 năm,Hà Nội,25-99 nhân viên,12 - 15 triệu,"● Theo dõi, kiểm tra và hạch toán các nghiệp vụ thu – chi nội bộ, công nợ, tạm ứng, hoàn ứng,...
● Quản lý và cập nhật sổ sách kế toán nội bộ, báo cáo thu chi hàng ngày/tuần/tháng,tính lương nhân sự.
● Quản lý kho hàng: xuất – nhập – tồn, đối chiếu số lượng hàng hóa thực tế và sổ sách.
● Thực hiện kiểm kê định kỳ và đột xuất; phối hợp với các bộ phận liên quan trong việc điều phối kho.
● Theo dõi chi phí, lập báo cáo chi phí vận hành, giá vốn hàng bán,...
● Hỗ trợ lập báo cáo tài chính nội bộ và làm việc với bộ phận kế toán thuế khi cần.
● Phối hợp với bộ phận bán hàng và vận hành để tối ưu hóa quy trình lưu chuyển hàng hóa và dữ liệu.
Phối hợp với bộ phận kho theo dõi và xử lý đơn hàng
● Thực hiện các công việc khác theo yêu cầu của quản lý.","● Giới tính: Nữ, độ tuổi: 27-45t.
● Tốt nghiệp Cao đẳng/Đại học chuyên ngành Kế toán, Tài chính hoặc các ngành liên quan.
● Có ít nhất 3-4 năm kinh nghiệm ở vị trí kế toán nội bộ hoặc kế toán kho.
● Thành thạo Excel và các phần mềm kế toán (Misa, Fast,...).
● Cẩn thận, trung thực, có tinh thần trách nhiệm cao và chủ động trong công việc.
● Có tư duy hệ thống và kỹ năng quản lý kho cơ bản.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67f5d4780046e1744163960.png,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-12-15-trieu-tai-ha-noi/1730232.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY CỔ PHẦN GIÁM ĐỊNH VINA PACIFIC,Chuyên môn Kế toán/Kiểm toán/Thuế khác Xây dựng Cơ khí / Tự động hóa,3 năm,Hồ Chí Minh,100-499 nhân viên,Thoả thuận,"Giám định hiện trường tổn thất về hàng hóa;
Thu thập các hồ sơ về hàng tồn kho và giá thành;
Tính toán giá trị hàng hóa bị tổn thất;
Công việc cụ thể sẽ trao đổi khi phỏng vấn.","Nam, độ tuổi từ 28 – 35 và có ít nhất từ 3 năm kinh nghiệm làm việc kế toán/kiểm toán trở lên
Giao tiếp tự tin.
Trình độ chuyên môn: Tốt nghiệp đại học ngành kế toán/ kiểm toán: các trường đại học: Kinh tế, Tài chính, Đại học Thương Mại....
Ưu tiên có kinh nghiệm trong lĩnh vực kế toán hàng tồn kho và giá thành.
Đi công tác ngắn ngày theo yêu cầu công việc",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/SGQdu96NQdTZrLQvYoGmwyRezDhd3hnh_1647920961____5eea315c290276829183c1572436d904.jpg,https://www.topcv.vn/viec-lam/ke-toan-kiem-toan-yeu-cau-co-3-nam-kinh-nghiem-tai-ho-chi-minh/1721029.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
Công ty Cổ phần Ubofood Việt Nam,Chuyên môn Kế toán tổng hợp Kế toán,2 năm,Hà Nội,100-499 nhân viên,13 - 15 triệu,"- Thực hiện công việc theo sự phân công của Kế toán trưởng và Ban giám đốc Công ty;
- Thực hiện các nghiệp vụ Thu, Chi liên quan đến Tiền Mặt;
- Thực hiện các giao dịch liên quan đến Ngân hàng như: Hạch toán báo nợ, báo có, giao dịch Nộp và rút tiền , giao dịch UNC, giao dịch thay đổi thông tin.. khi được Kế toán trưởng và Tổng Giám đốc ký duyệt;
- Theo dõi, hạch toán khấu hao, tccđ, ccdc
- Kiểm tra hồ sơ thanh toán.
- Đối chiếu số liệu chi tiết và tổng hợp
- Nhận Hóa đơn đỏ : kiểm tra chính xác các thông tin trên Hóa đơn;
- Xuất hóa đơn tài chính
- Làm tờ khai thuế định kỳ, báo cáo tài chính thuế định kỳ.
- Báo cáo tài chính nội bộ.
- Các công việc khác phát sinh.
- Chịu trách nhiệm với các nhiệm vụ được giao.
Theo sự chỉ đạo của Ban Giám đốc Công ty và Kế toán trưởng","• Tốt nghiệp Đại học, Cao đẳng chuyên ngành;
• Có kỹ năng về quản lý, điều hành
• Tối thiểu 02 năm trong lĩnh vực tương đương
• Có năng lực nghiệp vụ kế toán, có khả năng tổng hợp, nắm vững chế độ kế toán.
• Tự tổ chức, sắp xếp và xây dựng kế hoạch để thực hiện nhiệm vụ được phân công.
• Biết tổng hợp và phân tích báo cáo. Thi hành nhiệm vụ chính xác và đúng quy định.
• Sử dụng máy vi tính thành thạo (Phần mềm excel, phần mềm kế toán).
• Nhanh nhẹ, thật thà, chăm chỉ.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-ubofood-viet-nam-5f03efcf204f9.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-tu-14-trieu-16-trieu-ha-noi/1729736.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH CÔNG TRÌNH HÙNG KIẾN,Chuyên môn Kế toán nội bộ Kế toán Kiểm toán Thuế,Không yêu cầu,Hồ Chí Minh,25-99 nhân viên,10 - 15 triệu,"Quản lý tài chính công trình, hạch toán chi phí – doanh thu theo từng dự án.
Theo dõi hợp đồng thầu chính, thầu phụ, vật tư thiết bị.
Quản lý công nợ nhà cung cấp, khách hàng, lập báo cáo tài chính nội bộ.
Kiểm soát tạm ứng, quyết toán, thanh toán theo tiến độ công trình.
Phối hợp với các bộ phận kỹ thuật để kiểm soát chi phí.","Không yêu cầu kinh nghiệm, hiểu về kế toán xây dựng là lợi thế.
Yêu cầu biết tiếng Trung (cơ bản hoặc thành thạo)
Cẩn thận, trung thực, có trách nhiệm trong công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67e626203ba621743136288.jpg,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-biet-tieng-trung-co-ban-khong-yeu-cau-kinh-nghiem/1715253.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH XE MÁY THẮNG PHÚC THỊNH - CHI NHÁNH 4,Chuyên môn Kế toán/Kiểm toán/Thuế khác Bán lẻ - Hàng tiêu dùng - FMCG,Dưới 1 năm,Bình Dương,100-499 nhân viên,12 - 14 triệu,"- Thực hiện các hoạt động của phòng kế toán theo kế hoạch kinh doanh của công ty.
- Tập hợp các chứng từ đầu vào, đầu ra.
- Thực hiện 100% các báo cáo và KPI một cách đầy đủ, chính xác và kịp thời.","- Ưu tiên ứng viên: Nữ ( Đã có GĐ)
- Ưu tiên có kinh nghiệm ở các đơn vị bán xe máy trả góp
- Kỹ năng tổng hợp, phân tích, đánh giá;
- Kỹ năng làm việc khoa học, chính xác và tập trung;",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6822f3caa10e71747121098.crdownload,https://www.topcv.vn/viec-lam/ke-toan-van-phong-uu-tien-nu-tai-tan-uyen-dau-phong-van-di-lam-ngay/1727195.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
Công Ty Cổ Phần Quảng Cáo và Dịch Vụ Hàng Không Hải Trần,Chuyên môn Kế toán bán hàng,2 năm,Hồ Chí Minh,500-1000 nhân viên,Thoả thuận," Nhận chứng từ, quản lý hồ sơ, ghi chép sổ sách chứng từ theo quy định, quy trình phòng Kế toán.
 Đặt hàng, nhận hàng, quản lý hàng hóa, nguyên vật liệu, kiểm kê, đối chiếu định kỳ thực tế và sổ sách của nhà hàng.
 Quản lý dòng tiền hoạt động thu chi theo quy định của Công ty.
 Quản lý tài sản cố định, công cụ dụng cụ tại nhà hàng.
 Kiểm tra, giám sát nhân viên nhà hàng trong công tác bán hàng, thu chi, hóa đơn, chứng từ,... đảm bảo thực hiện đúng quy định Công ty.
 Nhập các chứng từ, thay đổi menu giá bán,... trên phần mềm.
 Lập các báo cáo của nhà hàng: Doanh thu; cân đối nhập xuất tồn; kiểm kê; phân tích hao hụt, hiệu quả; công nợ.
 Thực hiện các công việc khác được giao theo yêu cầu của cấp trên."," Ưu tiên nữ, độ tuổi từ 25 - 35.
 Tốt nghiệp Cao đẳng/ Đại học chuyên ngành Kế toán.
 Có ít nhất 2 năm kinh nghiệm vị trí Kế toán, ưu tiên ứng viên từng làm trong lĩnh vực F&B.
 Thành thạo tin học văn phòng, sử dụng tốt các phần mềm kế toán.
 Cẩn thận, trung thực, trách nhiệm, chịu được áp lực công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/Ymv2HgIXKEi7IRte9y1RuwYlBzuykAAe_1675214212____8570f0584551eef3b7d1ea83381dfcbc.jpg,https://www.topcv.vn/viec-lam/ke-toan-nha-hang-san-bay-tan-son-nhat/1731373.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
N/A,Chuyên môn Kế toán thuế,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/icpartners/tuyen-dung/tax-accounting-executive-chuyen-vien-ke-toan-thue-thu-nhap-upto-40-trieu-tai-ha-noi-j1729206.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TACO VIỆT NAM,Chuyên môn Kế toán tài chính Bán lẻ - Hàng tiêu dùng - FMCG Tài chính Kế toán,Trên 5 năm,Hà Nội,100-499 nhân viên,Thoả thuận,"- Xây dựng và quản lý ngân sách được công ty cho phép
- Xây dựng, hoàn thiện, vận hành hệ thống kế toán, mô hình kế toán phù hợp với đặc điểm hoạt động sản xuất kinh doanh của Công ty.
- Tổ chức, vận hành công tác kế toán (chứng từ kế toán; tài khoản kế toán và sổ kế toán; báo cáo tài chính; kiểm tra kế toán; kiểm kê tài sản, bảo quản, lưu trữ tài liệu kế toán;...) của toàn hệ thống theo các chuẩn mực kế toán, chế độ kế toán hiện hành và các quy định nội bộ của Công ty.
- Xây dựng, trình cấp quản lý có thẩm quyền ban hành và tổ chức hướng dẫn thực hiện các quy định, quy trình nội bộ liên quan đến nghiệp vụ kế toán.
- Thiết lập sự liên kết giữa hệ thống kế toán quản trị và kế toán tài chính (bộ mã phí, mã bộ phận, nguyên tắc phân bổ, hạch toán theo profit center, cost center vv...) để phục vụ cho mục đích quản trị.
- Thực hiện bộ báo cáo quản trị (phối hợp với các Đơn vị liên quan) đảm bảo cung cấp thông tin hỗ trợ cho quá trình điều hành kinh doanh của Công ty. Cung cấp các báo cáo quản trị chuẩn xác, đánh giá ảnh hưởng của việc thực thi các chính sách kinh doanh mới đối với kết quả kinh doanh, hỗ trợ việc ra quyết định đúng đắn.
- Tính toán giá thành, chi phí, doanh thu theo bộ phận (profit center, cost center..), vùng miền, nhóm sản phẩm.
- Quản lý, tổ chức vận hành hệ thống thông tin kế toán và các Báo cáo theo yêu cầu của Ban lãnh đạo Công ty.
- Phối hợp với Khối tài chính xây dựng, triển khai, đánh giá thực hiện chiến lược, đề xuất điều chỉnh chiến lược quản lý rủi ro về thuế của Công ty
- Phối hợp với Khối tài chính xây dựng, thẩm định, giám sát, đề xuất điều chỉnh kế hoạch ngân sách, kế hoạch dòng tiền của toàn hệ thống hàng năm, hàng tháng
- Phối hợp với Khối tài chính và các Đơn vị liên quan trong Công ty xây dựng chính sách, đơn giá bán nguyên liệu, sản phẩm, dịch vụ áp dụng trong toàn hệ thống
- Phối hợp với bộ phận quản lý rủi ro của Phòng Kiểm toán nội bộ tổ chức thực hiện công tác quản lý rủi ro, giám sát, quản trị Cơ sở dữ liệu sự kiện rủi ro trong lĩnh vực kế toán của toàn hệ thống.","- Tốt nghiệp Cao đẳng, Đại học trở lên, chuyên Tài chính, kế toán ...có ít nhất 7 năm kinh nghiệm ở vị trí cấp trưởng phòng trở lên, ưu tiên có kinh nghiệm làm tại các doanh nghiệp FMCG, F&B, chuỗi bán lẻ, chuỗi siêu thị lớn ((doanh thu>500 tỷ/năm).... quản lý trực tiếp >10 nhân sự
- Nắm vững và hiểu biết về nghiệp vụ chuyên môn tài chính kế toán, thuế theo đúng qui định của Pháp luật về chuẩn mực kế toán, nguyên tắc kế toán, các quy định của Pháp luật về thuế
- Biết và sử dụng Tốt các công cụ phần mềm hỗ trợ, ưu tiên ứng viên có kinh nghiệm phần mềm ERP, LS Retail là một lợi thế
- Kỹ năng phân tích, tổng hợp tốt
- Khả năng phối hợp đội nhóm tốt, hướng đến kết quả
- Khả năng tự học, thích ứng nhanh
- Tư duy, hành động nhanh nhạy, năng động không ngại di chuyển
- Năng lực điều hành mạnh mẽ, dứt khoát
- Trung thực, cẩn thận, tỉ mỉ, chi tiết trong công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/chi-nhanh-tai-thanh-pho-ho-chi-minh-cong-ty-co-phan-thuong-mai-dich-vu-taco-viet-nam-625f6a633807c.jpg,https://www.topcv.vn/viec-lam/truong-phong-tai-chinh-ke-toan-ha-noi-luong-thuong-hap-dan/1728967.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
HỘ KINH DOANH GOMI,Chuyên môn Kế toán nội bộ Kế toán Kiểm toán,1 năm,Hồ Chí Minh,100-499 nhân viên,8 - 11 triệu,"Thu thập, tổng hợp và xử lý các số liệu, chứng từ kế toán phát sinh hằng ngày (mua bán hàng hóa, tài sản cố định, chi phí hoạt động,...).
Kiểm soát hoạt động thu – chi, theo dõi công nợ và làm việc trực tiếp với nhà cung cấp.
Lập các loại báo cáo tài chính: báo cáo thuế quý, BCTC năm, quyết toán thuế TNCN, báo cáo nội bộ,...
Xuất hóa đơn GTGT, làm việc với ngân hàng, theo dõi các khoản thanh toán, quản lý quỹ tiền mặt.
Giám sát và lập báo cáo thuế định kỳ (báo cáo thuế GTGT, tờ khai thuế TNCN,...) và các báo cáo doanh thu – lợi nhuận khác theo yêu cầu.
Đề xuất và tham mưu các giải pháp xử lý sai sót tài chính – kế toán kịp thời.
Hỗ trợ các công việc khác theo phân công của cấp trên.","Có tối thiểu 01 năm kinh nghiệm ở vị trí kế toán nội bộ hoặc kế toán tổng hợp.
Thành thạo nghiệp vụ kế toán doanh nghiệp và kỹ năng thống kê – lập báo cáo.
Ưu tiên ứng viên từng làm trong các ngành bán lẻ, quà tặng, gấu bông, phụ kiện...
Biết sử dụng phần mềm kế toán, công cụ quản lý như 1Office, Nhanh.vn... là lợi thế.
Hiểu rõ các quy định pháp luật liên quan đến kế toán, thuế và tài chính doanh nghiệp tại Việt Nam.
Cẩn thận, trách nhiệm, trung thực và chủ động trong công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/SpxeBzCJpvGqyF7Vos9iGTxwm7WaIakh_1741162581____129d20a669af39849cab8939e66061af.jpg,https://www.topcv.vn/viec-lam/ke-toan-noi-bo-luong-11-trieu-thang-tai-ho-chi-minh/1730184.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY CỔ PHẦN THƯƠNG MẠI DẦU KHÍ AN DƯƠNG,Chuyên môn Kế toán tổng hợp Dầu khí / Hoá dầu Kế toán,2 năm,Hà Nội,100-499 nhân viên,15 - 20 triệu,"- Cập nhật, kiểm tra ghi chép số liệu, hạch toán các nghiệp vụ vào phần mềm kế toán
- Theo dõi công nợ của khách hàng và Nhà cung cấp.
- Thống kê và tổng hợp số liệu kế toán khi có yêu cầu
- Kê khai, Quyết toán thuế định kỳ theo quy định.
- Lập Báo cáo Tài chính định kỳ theo quy định
- Số liệu kế toán luôn được cập nhật liên tục, kịp thời;","- Nắm vững các thông tư nghị định về chính sách thuế
- Có năng lực nghiệp vụ kế toán, có khả năng tổng hợp, nắm vững nguyên tắc hạch toán
- Tổ chức, sắp xếp và xây dựng kế hoạch để thực hiện nhiệm vụ được phân công.
- Biết tổng hợp và phân tích báo cáo. Thực hiện nhiệm vụ chính xác và đúng quy định.
- Sử dụng máy vi tính thành thạo (phần mềm excel, kế toán), đã sử dụng qua các phần mềm kế toán
- Có kinh nghiệm ít nhất 2 năm ở vị trí kế toán tổng hợp.
- Chịu được áp lực cao trong công việc;
- Mong muốn làm việc gắn bó lâu dài với Công ty
- Trung thực, nhanh nhẹn, có tinh thần trách nhiệm cao,cẩn thận, tỉ mỉ.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/3ecb6e7c2a8787a91daeacfbd2e851fa-648fceee11ed9.jpg,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-tong-hop-thu-nhap-den-20-trieu-tu-2-nam-kinh-nghiem-thanh-xuan-ha-noi/1728809.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
